,open,close,high,low,volume,money
2013-05-10,3970.16,4002.95,4021.6,3961.09,1335507141.0,14114948938.0
2013-05-13,4002.24,3976.86,4009.6,3956.12,1359991757.0,15235972420.0
2013-05-14,3966.31,3928.68,3966.31,3910.99,1506807527.0,17037845830.0
2013-05-15,3935.79,3941.65,3951.58,3922.2,1067789630.0,12478677194.0
2013-05-16,3933.43,4032.88,4037.46,3898.38,2321201703.0,26146705002.0
2013-05-17,4026.07,4069.78,4085.3,3994.97,2320377564.0,24867000140.0
2013-05-20,4080.37,4121.95,4168.38,4068.41,2552399691.0,28215438371.0
2013-05-21,4111.03,4097.58,4121.93,4067.57,1610187764.0,18064079584.0
2013-05-22,4100.41,4116.64,4131.85,4090.09,1563036869.0,17973012179.0
2013-05-23,4093.3,4032.43,4111.49,4029.21,1781761290.0,19797265634.0
2013-05-24,4051.96,4048.92,4080.7,4014.49,1315818732.0,14263361404.0
2013-05-27,4041.12,4054.44,4083.5,4036.93,1500074656.0,16405674778.0
2013-05-28,4053.91,4165.96,4166.65,4043.76,2652165076.0,28924325250.0
2013-05-29,4175.24,4133.07,4192.74,4131.17,2058322733.0,22839286052.0
2013-05-30,4119.95,4126.6,4159.2,4110.52,1735429041.0,19064359458.0
2013-05-31,4136.38,4092.92,4153.89,4088.6,1424945158.0,16027453980.0
2013-06-03,4086.87,4078.6,4120.25,4066.82,1447908233.0,15384756786.0
2013-06-04,4073.86,4037.2,4078.55,4026.92,1466567467.0,15520398889.0
2013-06-05,4040.18,4006.07,4045.16,3987.63,1209389890.0,13167458543.0
2013-06-06,3990.41,3948.51,3996.41,3942.73,1327745177.0,14340660750.0
2013-06-07,3953.88,3891.88,3982.21,3882.27,1882568618.0,20618690512.0
2013-06-13,3819.74,3751.59,3819.74,3700.57,2159324067.0,21256158008.0
2013-06-14,3762.03,3764.2,3769.91,3736.91,1496564789.0,14478087073.0
2013-06-17,3780.57,3743.26,3789.4,3737.37,1194354747.0,11966894338.0
2013-06-18,3761.17,3770.74,3794.74,3746.5,1130787987.0,11770318800.0
2013-06-19,3752.86,3713.21,3752.86,3674.13,1393114973.0,14185049720.0
2013-06-20,3691.59,3581.01,3691.59,3575.3,1586782190.0,14675527945.0
2013-06-21,3516.38,3588.35,3615.56,3494.96,1849420508.0,17054495331.0
2013-06-24,3565.9,3317.93,3565.9,3315.03,2823679535.0,24628718100.0
2013-06-25,3271.59,3317.94,3323.58,3084.23,3469182144.0,28042211526.0
2013-06-26,3325.39,3279.79,3325.39,3223.84,2461242719.0,19893670993.0
2013-06-27,3285.89,3282.14,3328.47,3250.66,2152944348.0,17209168564.0
2013-06-28,3261.73,3394.56,3409.34,3245.38,2581064348.0,20398979999.0
2013-07-01,3367.97,3381.37,3388.92,3316.12,1738986728.0,13109715752.0
2013-07-02,3378.02,3365.42,3384.47,3310.18,1786199647.0,14362756162.0
2013-07-03,3334.51,3314.02,3334.51,3267.16,1660155446.0,12749140903.0
