open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_base_volue,taker_quote_volume,ignore
2021-03-13 00:00:00,0.39331000,0.39390000,0.39267000,0.39341000,399382.90000000,1615564859999,157136.50343800,293,230048.20000000,90529.49415700,0
2021-03-13 00:01:00,0.39353000,0.39400000,0.39330000,0.39375000,117837.90000000,1615564919999,46389.69324500,130,69509.10000000,27365.53442800,0
2021-03-13 00:02:00,0.39380000,0.39382000,0.39272000,0.39282000,346688.70000000,1615564979999,136302.16543900,206,114503.90000000,45018.23247600,0
2021-03-13 00:03:00,0.39291000,0.39302000,0.39204000,0.39216000,155156.30000000,1615565039999,60907.43084700,134,58781.30000000,23073.04649800,0
2021-03-13 00:04:00,0.39207000,0.39255000,0.39190000,0.39208000,454813.20000000,1615565099999,178305.85001200,131,395552.30000000,155069.38297000,0
2021-03-13 00:05:00,0.39195000,0.39264000,0.39159000,0.39239000,113665.30000000,1615565159999,44588.10644500,102,85989.90000000,33734.75184000,0
2021-03-13 00:06:00,0.39232000,0.39268000,0.39218000,0.39245000,157277.90000000,1615565219999,61709.56224200,106,27231.30000000,10684.88219200,0
2021-03-13 00:07:00,0.39246000,0.39330000,0.39246000,0.39283000,67753.90000000,1615565279999,26615.53516900,77,54932.50000000,21579.27196800,0
2021-03-13 00:08:00,0.39278000,0.39306000,0.39245000,0.39290000,76036.40000000,1615565339999,29867.48618900,86,50876.10000000,19985.63692100,0
2021-03-13 00:09:00,0.39275000,0.39301000,0.39200000,0.39233000,270476.10000000,1615565399999,106180.56659300,93,37141.10000000,14587.00152500,0
2021-03-13 00:10:00,0.39219000,0.39250000,0.39189000,0.39250000,97288.60000000,1615565459999,38150.74141700,89,29402.50000000,11529.47556200,0
2021-03-13 00:11:00,0.39251000,0.39329000,0.39251000,0.39327000,217348.50000000,1615565519999,85391.65425700,100,177069.60000000,69572.68260400,0
2021-03-13 00:12:00,0.39328000,0.39328000,0.39268000,0.39282000,47803.90000000,1615565579999,18787.36938000,74,14884.50000000,5850.76493000,0
2021-03-13 00:13:00,0.39282000,0.39302000,0.39253000,0.39266000,20615.80000000,1615565639999,8096.60229200,44,3569.10000000,1402.09506300,0
2021-03-13 00:14:00,0.39277000,0.39278000,0.39225000,0.39231000,24336.30000000,1615565699999,9552.72197800,42,4726.80000000,1856.09906500,0
